-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32434,118363632
118363632,142732817,100988688,156221367,205102170,28566148,53421923,33916048,32434,101861415,58683059,62052581,127858084,124013752,152244325,119605475,139743287
825700,8850985
8850985,825700,500425146,437874046,276826059,463178873,275786988
3335494,180142925,122450311
122450311,51752657,134070307,245412704,138851931,25333736,145579633,65535469,3335494,127100803,52769708,143755571
180142925,31898774,19607837,32965903,3335494
3739193,100001060,124013752,139394354,29880354,33916048,128988300,17542618,39049179,84323356,137856589,119441582,26379649,63467002,49479521
17542618,3739193,119441582,74350432,29880354
26379649,3739193,74350432,39740854,184632716,124013752,141632748,57778819,63819937,178970389,53421923,33916048,66493458,22691473,216849330,281588853,119441582,62971072,132961870,65735479,24214370,87818274,139394354,84323356
29880354,3739193,29559285,115173669,184632716,43310582,124013752,194487439,139743287,242200071,47965311,63819937,17576881,53421923,101861415,33916048,281588853,216849330,39049179,62375074,137856589,6053973,119441582,152244325,100001060,65735479,17542618,24214370,52297259,119605475,33284217,139394354,98292398,128988300,84323356,74350432,159398824
33916048,3739193,170916494,87927516,57619211,66547575,29880354,29559285,50064643,217066107,81812619,43310582,124013752,45261843,194487439,274427882,139743287,156221367,171924594,57778819,53421923,101861415,66493458,26379649,63467002,59655100,382218561,132961870,100001060,114119365,52297259,119605475,100988688,118363632,145403162
